,Ligand_Short_Hand_descrip_Tollman Cone Angle/Bite Angle,Ligand_Short_Hand_descrip_Denticity,Ligand_Short_Hand_descrip_Hybridisation,Ligand_Short_Hand_descrip_E (HOMO),Ligand_Short_Hand_descrip_E (LUMO),Ligand_Short_Hand_descrip_Steric Parameter,Ligand_Short_Hand_descrip_Proton Affinity ,Base_Short_Hand_descrip_pKa in Water,Base_Short_Hand_descrip_Organic/Inorganic,Base_Short_Hand_descrip_# of Deprotonations,Solvent_1_Short_Hand_descrip_Polarity of Co-Solvent (PCA1),Solvent_1_Short_Hand_descrip_Polarisability (PCA2),Solvent_1_Short_Hand_descrip_Hydrogen Bonding (PCA3),Solvent_1_Short_Hand_descrip_PCA4*,Reactant_1_Name_6-Bromoquinoline,Reactant_1_Name_6-Iodoquinoline,Reactant_1_Name_6-Quinolineboronic acid pinacol ester,Reactant_1_Name_6-chloroquinoline,Reactant_1_Name_6-quinoline-boronic acid hydrochloride,Reactant_1_Name_6-triflatequinoline,Reactant_1_Name_Potassium quinoline-6-trifluoroborate,"Reactant_2_Name_2a, Boronic Acid","Reactant_2_Name_2b, Boronic Ester","Reactant_2_Name_2c, Trifluoroborate","Reactant_2_Name_2d, Bromide",Product_Yield_PCT_Area_UV
15,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,3.6,1.0,2.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.05267140865080169
16,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,3.6,1.0,2.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0195634116073256
18,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,3.6,1.0,2.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.6922093433688
20,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,3.6,1.0,2.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.8319063214096271
21,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,3.6,1.0,2.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.13680381672727399
22,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,3.6,1.0,2.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0182471592243866
24,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,3.2,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0178675303928125
25,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,3.2,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0435920116829955
27,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,3.2,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0648652823683892
28,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,3.2,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0210068590036068
30,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,3.2,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.6844400164755391
32,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,3.2,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.730197105076637
33,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,3.2,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.131958561281243
34,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,3.2,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0210098201074023
36,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,2.1,0.0,3.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.030040038893554798
37,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,2.1,0.0,3.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.047313701172475
39,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,2.1,0.0,3.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.058267255162714
40,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,2.1,0.0,3.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0188178466778928
42,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,2.1,0.0,3.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.533442477399675
44,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,2.1,0.0,3.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.606695362355924
45,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,2.1,0.0,3.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.143933392770758
46,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,2.1,0.0,3.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0226866296700559
48,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.055969019412474
49,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.04821961014500881
51,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0645624672939622
52,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0205952841211658
54,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.7841742281936681
56,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.9222423864659519
57,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.142206754932286
58,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,15.7,0.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.023455596596732
60,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,17.0,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.070788779533304
61,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,17.0,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.054483808696152
63,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,17.0,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0608313547812363
64,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,17.0,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0245280550760324
66,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,17.0,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.857734226150222
68,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,17.0,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.928344072930483
69,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,17.0,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.15410461843799
70,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,17.0,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0242654830002009
72,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,10.8,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0782316946168684
73,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,10.8,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0614029657993896
75,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,10.8,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0505213723181808
76,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,10.8,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.0198028622008522
78,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,10.8,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.78957919561643
80,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,10.8,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.903017535211921
81,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,10.8,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.153607442237364
82,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,10.8,1.0,1.0,-2.18069,-1.48531,-0.247267,-2.24492,0,0,0,1,0,0,0,1,0,0,0,0.025092799414433903
96,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.337884226000348
97,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.08083894061744809
99,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.699420492553848
100,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.072041205533469
102,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.870599138552419
104,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.88966679030845
105,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.279254607314512
106,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.061056671566937004
108,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,3.6,1.0,2.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.6673580436757889
109,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,3.6,1.0,2.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0811170620285451
111,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,3.6,1.0,2.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.618864221022104
112,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,3.6,1.0,2.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.022298455248819602
114,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,3.6,1.0,2.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.798467095458273
116,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,3.6,1.0,2.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.8076770744439
117,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,3.6,1.0,2.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.19243178629042698
118,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,3.6,1.0,2.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.051969197906547304
120,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,3.2,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.39169224224222904
121,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,3.2,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0724196612769955
123,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,3.2,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.509504664551199
124,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,3.2,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0222798897357048
126,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,3.2,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.6082558869673089
128,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,3.2,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.535151293766415
129,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,3.2,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.18181558325170802
130,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,3.2,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0368200738399539
132,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,2.1,0.0,3.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.41234218800414096
133,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,2.1,0.0,3.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0665750525584473
135,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,2.1,0.0,3.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.500570187984233
136,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,2.1,0.0,3.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0267563431152105
138,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,2.1,0.0,3.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.479422368676178
140,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,2.1,0.0,3.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.523254982462699
141,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,2.1,0.0,3.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.201771290379512
142,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,2.1,0.0,3.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0424818416198782
144,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.48561140726650104
145,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.07771747709471401
147,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.550785260954863
148,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0303273678853182
150,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.733055406932652
152,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.720008032847844
153,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.261379482896069
154,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,15.7,0.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0454255057271249
156,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,17.0,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.661567482939123
157,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,17.0,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.09919387953604289
159,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,17.0,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.78151358455536
160,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,17.0,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.051213615791615805
162,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,17.0,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.859474312367647
164,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,17.0,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.852124687491059
165,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,17.0,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.268267891505492
166,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,17.0,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0
168,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,10.8,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.6872229767603381
169,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,10.8,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.10159502761028101
171,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,10.8,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.826474738914186
172,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,10.8,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.059704378754713
174,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,10.8,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.878200709579917
176,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,10.8,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.889252912767351
177,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,10.8,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.216492415106935
178,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,10.8,1.0,1.0,0.424405,-1.34983,-1.44861,-1.35114,0,0,0,1,0,0,0,1,0,0,0,0.0363674229125296
192,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,15.7,0.0,1.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.173301256176142
193,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,15.7,0.0,1.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.06271556888171731
195,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,15.7,0.0,1.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.12740444931530098
196,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,15.7,0.0,1.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.0537201523252886
198,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,15.7,0.0,1.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.7784889125449941
200,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,15.7,0.0,1.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.882753685705748
201,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,15.7,0.0,1.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.138715355750171
202,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,15.7,0.0,1.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.0479652923515851
204,182.0,1.0,0.0,-0.173,0.028,23.38,250.8,3.6,1.0,2.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.0349558510672879
205,145.0,1.0,0.0,-0.187,-0.051,8.0,241.3,3.6,1.0,2.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.0683848609348724
207,170.0,1.0,0.0,-0.177,0.026,16.65,250.4,3.6,1.0,2.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.10591735254912
208,194.0,1.0,2.0,-0.182,-0.049,30.11,244.1,3.6,1.0,2.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.011874456104086798
210,208.0,1.0,1.0,-0.17,-0.038,24.06,255.96,3.6,1.0,2.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.421325982495637
212,221.0,1.0,1.0,-0.181,-0.05,22.15,255.65,3.6,1.0,2.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.370149598879938
213,99.6,2.0,2.0,-0.1869,-0.0506,23.343240404530764,241.3,3.6,1.0,2.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.16239544825249103
214,102.7,2.0,2.0,-0.1869,-0.0506,25.449789796062706,241.3,3.6,1.0,2.0,-2.67998,0.527336,-1.58183,-0.775239,0,0,0,1,0,0,0,1,0,0,0,0.0
